日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率
2009-12-31,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1004.91,1004.91,994.87,994.87,,-0.51,1348.44,180.29,,
2010-01-04,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1004.91,1004.91,994.87,994.87,,-0.51,1348.44,180.29,,
2010-01-05,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,995.78,999.28,986.15,999.28,,0.44,1615.8,208.05,,
2010-01-06,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,998.47,1003.28,993.82,993.94,,-0.54,1512.73,204.2,,
2010-01-07,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,991.92,993.63,969.38,973.69,,-2.04,1484.21,196.61,,
2010-01-08,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,970.54,983.96,967.86,983.96,,1.05,1153.06,151.7,,
2010-01-11,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,988.18,989.39,983.14,988.84,,0.5,1688.37,215.88,,
2010-01-12,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,987.81,1013.23,987.06,1013.23,,2.47,1975.77,234.68,,
2010-01-13,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,993.34,1015.54,993.34,1003.56,,-0.96,2044.19,247.59,,
2010-01-14,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1006.1,1031.43,1006.1,1031.43,,2.78,1762.09,236.04,,
2010-01-15,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1033.3,1037.0,1031.41,1036.01,,0.44,1538.69,206.44,,
2010-01-18,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1035.37,1055.79,1033.38,1054.41,,1.78,1832.56,239.62,,
2010-01-19,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1055.52,1057.86,1044.42,1054.55,,0.01,1640.16,207.65,,
2010-01-20,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1055.54,1057.53,1023.4,1026.74,,-2.64,2110.97,253.37,,
2010-01-21,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1026.74,1036.27,1018.36,1030.47,,0.36,1485.42,184.19,,
2010-01-22,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1019.14,1024.61,992.97,1007.78,,-2.2,1650.36,200.27,,
2010-01-25,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1000.13,1008.43,990.07,990.15,,-1.75,1010.14,122.38,,
2010-01-26,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,990.03,991.09,954.91,962.3,,-2.81,1172.2,141.3,,
2010-01-27,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,960.93,975.15,956.19,959.69,,-0.27,1014.72,125.61,,
2010-01-28,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,959.88,976.31,958.51,976.31,,1.73,928.66,112.94,,
2010-01-29,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,971.4,992.57,971.4,981.52,,0.53,1054.55,126.23,,
2010-02-01,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,979.54,979.54,964.56,974.31,,-0.73,1102.1,129.77,,
2010-02-02,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,977.48,988.65,969.01,969.24,,-0.52,993.18,112.82,,
2010-02-03,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,969.65,981.2,948.32,981.2,,1.23,1362.0,151.37,,
2010-02-04,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,976.85,995.07,972.62,986.49,,0.54,1319.32,145.63,,
