日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率
2020-04-24,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1960.73,1961.45,1943.24,1947.19,-12.94,-0.66,2461.18,305.43,100.0,7.96
2020-04-27,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1950.16,1969.77,1948.16,1957.88,10.69,0.55,3119.01,342.14,100.0,8.02
2020-04-28,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1959.74,1960.17,1913.52,1945.49,-12.39,-0.63,3307.0,400.99,100.0,8.04
2020-04-29,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1945.41,1966.29,1945.21,1966.29,20.8,1.07,3197.85,436.05,100.0,8.14
2020-04-30,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1965.77,1984.62,1965.72,1982.09,15.8,0.8,3845.99,441.08,100.0,8.18
2020-05-06,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1961.66,1987.31,1960.58,1986.31,4.22,0.21,4141.21,487.55,100.0,8.4
2020-05-07,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1981.57,1986.0,1974.78,1984.02,-2.29,-0.11,2960.39,358.92,100.0,8.39
2020-05-08,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1991.32,2004.83,1988.42,2001.63,17.62,0.89,3146.47,400.21,100.0,8.45
2020-05-11,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,2005.61,2012.5,1993.8,1999.87,-1.76,-0.09,3129.81,402.3,100.0,8.46
2020-05-12,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,2000.48,2001.27,1983.61,1991.86,-8.01,-0.4,2510.47,315.86,100.0,8.43
2020-05-13,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1988.18,2002.3,1979.5,2001.18,9.32,0.47,2490.38,307.35,100.0,8.44
2020-05-14,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1995.26,1995.26,1977.71,1978.46,-22.72,-1.14,2508.11,313.22,100.0,8.36
2020-05-15,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1984.72,1987.34,1971.69,1974.92,-3.54,-0.18,2623.18,312.07,100.0,8.34
2020-05-18,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1979.2,1990.05,1968.82,1980.87,5.95,0.3,3024.1,351.9,100.0,8.36
2020-05-19,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1993.21,1997.41,1987.76,1992.66,11.79,0.6,2636.74,319.58,100.0,8.42
2020-05-20,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1991.12,1991.12,1979.76,1982.63,-10.03,-0.5,2568.62,303.65,100.0,8.41
2020-05-21,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1987.18,1988.49,1969.19,1971.26,-11.37,-0.57,2511.16,297.58,100.0,8.37
2020-05-22,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1970.79,1970.79,1935.14,1936.83,-34.43,-1.75,2974.45,374.66,100.0,8.21
2020-05-25,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1939.4,1946.43,1930.87,1946.37,9.54,0.49,2165.63,284.56,100.0,8.25
2020-05-26,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1952.31,1965.24,1949.86,1964.12,17.75,0.91,2222.92,270.59,100.0,8.29
2020-05-27,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1965.19,1973.45,1958.94,1967.15,3.03,0.15,2509.86,285.7,100.0,8.3
2020-05-28,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1968.82,1980.18,1954.43,1969.92,2.77,0.14,2642.11,318.98,100.0,8.36
2020-05-29,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1965.23,1970.39,1959.87,1967.72,-2.19,-0.11,2896.5,310.74,100.0,8.33
2020-06-01,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,1974.88,2003.85,1974.88,2003.13,35.4,1.8,3300.88,432.93,100.0,8.47
2020-06-02,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,2002.14,2005.34,1995.34,2005.32,2.19,0.11,3408.59,430.98,100.0,8.51
2020-06-03,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,2008.85,2015.79,2000.63,2002.59,-2.73,-0.14,3596.1,466.07,100.0,8.52
2020-06-04,931446,中证东方红红利低波动指数,东证红利低波,CSI Dongfanghong Dividend Low Volatility Index,DFH Dividend Low Volatility,2008.54,2008.82,1994.98,2002.2,-0.39,-0.02,2606.09,325.37,100.0,8.5
