日期,操作,价格,买入金额,买入点数,剩余现金,累计持仓点数,累计投入,买入次数,RSI,MA250,卖出金额,卖出点数
2021-07-26,买入,2277.87,10000.0,4.390066158297006,90000.0,4.390066158297006,10000.0,1.0,18.126577063700296,2313.62584,,
2021-08-16,卖出,2346.15,,,100299.75371728852,,,,83.26589769913642,2318.48956,10299.75371728852,4.390066158297006
2021-08-20,买入,2314.54,10000.0,4.3205129312952035,90299.75371728852,4.3205129312952035,10000.0,1.0,64.94356769433716,2320.5139599999998,,
2021-09-02,卖出,2492.32,,,101067.85450621418,,,,77.4252888401213,2325.91892,10768.100788925662,4.3205129312952035
2021-11-02,买入,2368.67,10000.0,4.221778466396755,91067.85450621418,4.221778466396755,10000.0,1.0,29.16210723776777,2374.1878,,
2021-11-05,买入,2364.75,10000.0,4.228776826302992,81067.85450621418,8.450555292699747,20000.0,2.0,26.62557994598714,2376.1381199999996,,
2021-12-03,卖出,2464.6,,,101895.09308060198,,,,76.17920233108715,2385.2526799999996,20827.238574387797,8.450555292699747
2022-03-15,买入,2386.03,10000.0,4.191062140878363,91895.09308060198,4.191062140878363,10000.0,1.0,26.794076445867574,2458.68396,,
2022-04-06,卖出,2670.1,,,103085.64810296129,,,,93.87723579747312,2467.32028,11190.555022359316,4.191062140878363
2022-04-25,买入,2460.89,10000.0,4.063570496852765,93085.64810296129,4.063570496852765,10000.0,1.0,33.57748727671887,2476.2628000000004,,
2022-07-15,买入,2451.02,10000.0,4.079934068265457,83085.64810296129,8.14350456511822,20000.0,2.0,17.37547575707447,2507.3073200000003,,
2022-07-21,买入,2481.76,10000.0,4.029398491393205,73085.64810296129,12.172903056511426,30000.0,3.0,30.578444297956565,2509.18576,,
2022-09-07,卖出,2520.17,,,103763.43319888969,,,,75.88701343437828,2528.9486399999996,30677.785095928404,12.172903056511426
2022-09-14,买入,2515.33,10000.0,3.9756214890292725,93763.43319888969,3.9756214890292725,10000.0,1.0,73.40907786767657,2530.9626000000003,,
2022-11-17,卖出,2449.28,,,103500.8433995393,,,,79.05597241938773,2510.74508,9737.410200649618,3.9756214890292725
2022-12-19,买入,2494.25,10000.0,4.009221208780194,93500.8433995393,4.009221208780194,10000.0,1.0,38.14127253119707,2521.8586,,
2023-01-06,买入,2519.02,10000.0,3.9697977785011633,83500.8433995393,7.979018987281357,20000.0,2.0,43.37696092082056,2520.6725999999994,,
2023-01-16,卖出,2539.91,,,103766.8335155251,,,,75.97365075696287,2519.72892,20265.99011598579,7.979018987281357
2023-10-23,买入,2684.6,10000.0,3.724949713178872,93766.8335155251,3.724949713178872,10000.0,1.0,18.5398325101997,2692.59808,,
2023-11-10,买入,2708.11,10000.0,3.6926121907898866,83766.8335155251,7.417561903968759,20000.0,2.0,57.8876736227606,2711.22912,,
2023-11-17,买入,2716.56,10000.0,3.681126130105722,73766.8335155251,11.098688034074481,30000.0,3.0,46.247113163972095,2718.35732,,
2023-11-28,买入,2725.35,10000.0,3.669253490377383,63766.8335155251,14.767941524451864,40000.0,4.0,54.265377669180815,2727.04396,,
2024-01-08,买入,2733.95,10000.0,3.657711369995794,53766.8335155251,18.42565289444766,50000.0,5.0,62.87898252826309,2748.11344,,
2024-01-10,买入,2740.24,10000.0,3.64931538843313,43766.8335155251,22.07496828288079,60000.0,6.0,69.38449713238327,2750.2958000000003,,
2024-01-16,卖出,2776.38,,,105055.33395674967,,,,75.91069891959071,2754.1382399999998,61288.50044122457,22.07496828288079
2024-01-17,买入,2746.85,10000.0,3.6405337022407487,95055.33395674967,3.6405337022407487,10000.0,1.0,63.99999999999991,2755.04956,,
2024-02-05,买入,2760.49,10000.0,3.6225452727595466,85055.33395674967,7.263078975000296,20000.0,2.0,48.07669030961772,2766.4724,,
2024-02-19,卖出,2902.98,,,106139.90695959603,,,,79.87307980517043,2771.15044,21084.57300284636,7.263078975000296
2024-09-09,买入,2890.78,10000.0,3.459273967579684,96139.90695959603,3.459273967579684,10000.0,1.0,9.15900578821929,2920.11524,,
2024-09-30,卖出,3362.71,,,107772.4421231159,,,,82.47385339792638,2929.43044,11632.535163519879,3.459273967579684
2025-09-18,买入,3373.38,10000.0,2.964385868179689,97772.4421231159,2.964385868179689,10000.0,1.0,24.718837863167792,3378.4628399999997,,
2025-10-20,卖出,3482.39,,,108095.58982660617,,,,75.4950102962142,3403.7558,10323.147703490267,2.964385868179689
2025-12-16,买入,3436.33,10000.0,2.9100813949766176,98095.58982660617,2.9100813949766176,10000.0,1.0,31.443986420950466,3442.29092,,
2025-12-30,买入,3442.2,10000.0,2.905118819359712,88095.58982660617,5.815200214336329,20000.0,2.0,38.22591362126248,3444.4272800000003,,
2026-01-14,买入,3423.35,10000.0,2.921115281814597,78095.58982660617,8.736315496150926,30000.0,3.0,40.77551518107544,3444.903,,
2026-02-02,买入,3421.42,10000.0,2.922763063289511,68095.58982660617,11.659078559440438,40000.0,4.0,44.3917807455321,3450.48852,,
2026-03-23,买入,3361.77,10000.0,2.974623487032129,58095.58982660617,14.633702046472568,50000.0,5.0,29.960063897763547,3473.3432000000003,,
2026-03-27,买入,3466.61,10000.0,2.884662537753021,48095.58982660617,17.518364584225587,60000.0,6.0,47.558308142249764,3475.9757600000003,,
2026-04-24,买入,3475.81,10000.0,2.877027225308633,38095.58982660617,20.39539180953422,70000.0,7.0,59.21646800374272,3484.4858799999997,,
