日期,操作,价格,买入金额,买入点数,剩余现金,累计持仓点数,累计投入,买入次数,MA250
2021-07-26,买入,2277.87,10000,4.390066158297006,90000,4.390066158297006,10000,1,2313.62584
2021-08-20,买入,2314.54,10000,4.3205129312952035,80000,8.710579089592208,20000,2,2320.5139599999998
2021-11-02,买入,2368.67,10000,4.221778466396755,70000,12.932357555988963,30000,3,2374.1878
2021-11-05,买入,2364.75,10000,4.228776826302992,60000,17.161134382291955,40000,4,2376.1381199999996
2022-03-15,买入,2386.03,10000,4.191062140878363,50000,21.352196523170317,50000,5,2458.68396
2022-04-25,买入,2460.89,10000,4.063570496852765,40000,25.415767020023083,60000,6,2476.2628000000004
2022-07-15,买入,2451.02,10000,4.079934068265457,30000,29.49570108828854,70000,7,2507.3073200000003
2022-07-21,买入,2481.76,10000,4.029398491393205,20000,33.52509957968174,80000,8,2509.18576
2022-09-07,买入,2520.17,10000,3.9679862866393933,10000,37.49308586632114,90000,9,2528.9486399999996
2022-09-14,买入,2515.33,10000,3.9756214890292725,0,41.46870735535041,100000,10,2530.9626000000003
