年份,期初市值,期末市值,年度收益率
2010,100000.0,100000.0,0.0
2011,100000.0,88013.94966870616,-11.986050331293837
2012,86924.55611716362,86817.73471022626,-0.12288979283757541
2013,86817.73471022626,93131.2075632651,7.27210042292796
2014,92852.66042041409,105035.1758692944,13.120265368510568
2015,105035.1758692944,102168.05361767879,-2.729678155805113
2016,102168.05361767879,106409.4272414341,4.151369702732008
2017,107554.6013949428,118879.29992776822,10.529255267509093
2018,120523.17952839172,112527.52325256968,-6.634123250904195
2019,111421.33303081304,118558.57129008003,6.405629932010615
2020,118558.57129008003,129570.09919219656,9.287837886620927
2021,129823.92293687425,136538.40504835983,5.171991386171893
2022,136538.40504835983,150130.74658339733,9.954958482357618
2023,150800.35246883394,149753.75994406626,-0.6940252510245154
2024,150650.51562866892,160579.77895767594,6.590925552144261
2025,160579.77895767594,175536.38779229502,9.314129669191535
2026,176136.50609398182,173652.41402446764,-1.4103220988093954
