年份,期初市值,期末市值,年度收益率
2010,100000.0,100000.0,0.0
2011,100000.0,85523.99948738168,-14.476000512618322
2012,84070.32766384794,90303.37173117684,7.41408323308967
2013,90303.37173117684,99533.39123571181,10.221123893371022
2014,99533.39123571181,107091.55937906547,7.593600549040517
2015,107091.55937906547,104141.21363390141,-2.7549750533754933
2016,104141.21363390141,113989.48675850165,9.456652924384874
2017,115216.23722029464,126452.68369681959,9.75248519446156
2018,126452.68369681959,108534.91619470193,-14.169543087813727
2019,107102.18526726864,117798.79027531428,9.987289224167329
2020,117798.79027531428,129005.66634533426,9.513574837082578
2021,129258.38438383666,144986.5725468333,12.168021624261776
2022,144986.5725468333,157739.954536586,8.796250415281127
2023,158208.2077522368,148103.29322159145,-6.38709879481742
2024,148990.16557894959,182214.1486656439,22.299447052489516
2025,182214.1486656439,191919.5542118286,5.326373180819092
2026,192575.68276946063,189859.74535842985,-1.4103220988093972
