日期,操作,价格,交易前状态
2011-01-17,买入,974.98,0
2011-02-16,卖出,1058.9,1
2011-05-26,买入,1000.27,0
2011-07-08,卖出,1001.45,1
2011-07-11,买入,1006.93,0
2011-11-09,卖出,908.91,1
2011-11-10,买入,896.72,0
2011-11-11,卖出,896.55,1
2011-11-14,买入,913.62,0
2011-11-15,卖出,915.12,1
2011-11-16,买入,895.31,0
2012-02-21,卖出,852.9,1
2012-02-22,买入,866.59,0
2012-02-27,卖出,883.89,1
2012-02-28,买入,886.32,0
2012-02-29,卖出,876.22,1
2012-03-01,买入,879.92,0
2012-03-02,卖出,894.96,1
2012-03-05,买入,889.88,0
2012-04-20,卖出,885.2,1
2012-04-23,买入,879.21,0
2012-04-24,卖出,877.56,1
2012-04-25,买入,887.35,0
2012-12-18,卖出,764.11,1
2012-12-19,买入,765.25,0
2012-12-20,卖出,766.68,1
2012-12-21,买入,764.54,0
2012-12-24,卖出,767.89,1
2012-12-25,买入,787.73,0
2012-12-26,卖出,791.38,1
2012-12-27,买入,787.07,0
2012-12-28,卖出,796.21,1
2013-01-11,买入,802.4,0
2013-01-14,卖出,827.59,1
2013-06-20,买入,791.2,0
2013-09-05,卖出,812.11,1
2014-01-06,买入,824.55,0
2014-02-13,卖出,854.04,1
2014-03-10,买入,815.47,0
2014-07-24,卖出,862.9,1
2015-08-25,买入,1399.16,0
2015-10-26,卖出,1628.35,1
2016-01-04,买入,1633.64,0
2016-03-18,卖出,1520.74,1
2016-03-21,买入,1538.83,0
2016-03-30,卖出,1543.33,1
2016-03-31,买入,1543.56,0
2016-06-07,卖出,1536.66,1
2016-06-08,买入,1524.97,0
2016-07-14,卖出,1580.61,1
2016-07-15,买入,1581.12,0
2016-07-18,卖出,1584.23,1
2016-07-19,买入,1573.46,0
2016-10-21,卖出,1651.59,1
2018-04-17,买入,2010.54,0
2018-05-15,卖出,2112.6,1
2018-05-30,买入,2041.35,0
2019-01-23,卖出,1813.06,1
2019-01-24,买入,1820.36,0
2019-02-01,卖出,1856.88,1
2019-02-11,买入,1882.63,0
2019-02-12,卖出,1898.39,1
2019-02-13,买入,1923.08,0
2019-02-14,卖出,1925.11,1
2019-02-15,买入,1890.44,0
2019-02-18,卖出,1940.64,1
2020-02-03,买入,1927.11,0
2020-02-21,卖出,2109.4,1
2020-02-26,买入,2069.66,0
2020-07-03,卖出,2126.9,1
2021-07-26,买入,2277.87,0
2021-08-16,卖出,2346.15,1
2021-08-20,买入,2314.54,0
2021-09-02,卖出,2492.32,1
2021-11-02,买入,2368.67,0
2021-12-03,卖出,2464.6,1
2022-03-15,买入,2386.03,0
2022-04-06,卖出,2670.1,1
2022-04-25,买入,2460.89,0
2022-09-07,卖出,2520.17,1
2022-09-08,买入,2521.47,0
2022-09-09,卖出,2542.53,1
2022-09-14,买入,2515.33,0
2022-11-17,卖出,2449.28,1
2022-11-18,买入,2443.39,0
2022-11-21,卖出,2436.66,1
2022-11-22,买入,2461.41,0
2022-11-23,卖出,2470.84,1
2022-11-24,买入,2476.66,0
2022-11-25,卖出,2508.97,1
2022-11-28,买入,2501.2,0
2022-11-29,卖出,2555.83,1
2022-12-19,买入,2494.25,0
2023-01-16,卖出,2539.91,1
2023-10-23,买入,2684.6,0
2024-01-16,卖出,2776.38,1
2024-01-17,买入,2746.85,0
2024-02-19,卖出,2902.98,1
2024-09-09,买入,2890.78,0
2024-09-30,卖出,3362.71,1
2025-09-18,买入,3373.38,0
2025-10-20,卖出,3482.39,1
2025-12-16,买入,3436.33,0
