日期,操作,价格
2011-01-17,买入,974.98
2011-02-16,卖出,1058.9
2011-05-26,买入,1000.27
2011-07-08,卖出,1001.45
2011-07-11,买入,1006.93
2011-11-09,卖出,908.91
2011-11-10,买入,896.72
2011-11-11,卖出,896.55
2011-11-14,买入,913.62
2011-11-15,卖出,915.12
2011-11-16,买入,895.31
2012-02-21,卖出,852.9
2012-02-22,买入,866.59
2012-02-27,卖出,883.89
2012-02-28,买入,886.32
2012-02-29,卖出,876.22
2012-03-01,买入,879.92
2012-03-02,卖出,894.96
2012-03-05,买入,889.88
2012-04-20,卖出,885.2
2012-04-23,买入,879.21
2012-04-24,卖出,877.56
2012-04-25,买入,887.35
2012-12-18,卖出,764.11
2012-12-19,买入,765.25
2012-12-20,卖出,766.68
2012-12-21,买入,764.54
2012-12-24,卖出,767.89
2012-12-25,买入,787.73
2012-12-26,卖出,791.38
2012-12-27,买入,787.07
2012-12-28,卖出,796.21
2013-01-11,买入,802.4
2013-01-14,卖出,827.59
2013-06-20,买入,791.2
2013-09-05,卖出,812.11
2014-01-06,买入,824.55
2014-02-13,卖出,854.04
2014-03-10,买入,815.47
2014-07-24,卖出,862.9
2015-08-25,买入,1399.16
2015-10-26,卖出,1628.35
2016-01-04,买入,1633.64
2016-03-18,卖出,1520.74
2016-03-21,买入,1538.83
2016-03-30,卖出,1543.33
2016-03-31,买入,1543.56
2016-06-07,卖出,1536.66
2016-06-08,买入,1524.97
2016-07-14,卖出,1580.61
2016-07-15,买入,1581.12
2016-07-18,卖出,1584.23
2016-07-19,买入,1573.46
2016-10-21,卖出,1651.59
2018-04-17,买入,2010.54
2018-05-15,卖出,2112.6
2018-05-30,买入,2041.35
2019-01-23,卖出,1813.06
2019-01-24,买入,1820.36
2019-02-01,卖出,1856.88
2019-02-11,买入,1882.63
2019-02-12,卖出,1898.39
2019-02-13,买入,1923.08
2019-02-14,卖出,1925.11
2019-02-15,买入,1890.44
2019-02-18,卖出,1940.64
2020-02-03,买入,1927.11
2020-02-21,卖出,2109.4
2020-02-26,买入,2069.66
2020-07-03,卖出,2126.9
2021-07-26,买入,2277.87
2021-08-16,卖出,2346.15
2021-08-20,买入,2314.54
2021-09-02,卖出,2492.32
2021-11-02,买入,2368.67
2021-12-03,卖出,2464.6
2022-03-15,买入,2386.03
2022-04-06,卖出,2670.1
2022-04-25,买入,2460.89
2022-09-07,卖出,2520.17
2022-09-08,买入,2521.47
2022-09-09,卖出,2542.53
2022-09-14,买入,2515.33
2022-11-17,卖出,2449.28
2022-11-18,买入,2443.39
2022-11-21,卖出,2436.66
2022-11-22,买入,2461.41
2022-11-23,卖出,2470.84
2022-11-24,买入,2476.66
2022-11-25,卖出,2508.97
2022-11-28,买入,2501.2
2022-11-29,卖出,2555.83
2022-12-19,买入,2494.25
2023-01-16,卖出,2539.91
2023-10-23,买入,2684.6
